Collector	Dataset Count	NamFirst	NamLast	NamMiddle
D. A. Grimaldi	1	D.	Grimaldi	A.
Grissell	1		Grissell	
W. L. Grogan	1	W.	Grogan	L.
S. W. Gross	1	S.	Gross	W.
L. Guidry	1	L.	Guidry	
C. J. Guillarmod	1	C.	Guillarmod	J.
T. Gunawardane	7	T.	Gunawardane	
V. Gunawardane	3	V.	Gunawardane	
T. Guniwariane	1	T.	Guniwariane	
R. Guppy	2	R.	Guppy	
A. B. Gurney	3	A.	Gurney	B.
Gurney	1		Gurney	
T. Guy	2	T.	Guy	
H. Hacker	1	H.	Hacker	
Hadjinicalaou	1		Hadjinicalaou	
C. Haematopota	1	C.	Haematopota	
J. C. Hall	1	J.	Hall	C.
W. Hallwachs	1	W.	Hallwachs	
P. Hanson	7	P.	Hanson	
Hardy	1		Hardy	
D. Hardy	1	D.	Hardy	
R. HarinHala	1	R.	HarinHala	
Harrington	1		Harrington	
W. G. Harvey	1	W.	Harvey	G.
M. Hauser	7	M.	Hauser	
I. R. Hendrickson	1	I.	Hendrickson	R.
J. B. Heppner	2	J.	Heppner	B.
Herard	1		Herard	
Herbert	1		Herbert	
L. H. Herman	1	L.	Herman	H.
Herrera	1		Herrera	
H. E. Hespenheide	1	H.	Hespenheide	E.
H. A. Hespenheide	2	H.	Hespenheide	A.
W. Heutemann	1	W.	Heutemann	
J. F. Hevel	3	J.	Hevel	F.
G. Hevel	2	G.	Hevel	
G. F. Hevel	18	G.	Hevel	F.
P. Hibbs	5	P.	Hibbs	
N. Hichins	1	N.	Hichins	
N. Hichius	1	N.	Hichius	
B. Hierro	5	B.	Hierro	
D. J. Hilburn	1	D.	Hilburn	J.
A. Hiller	1	A.	Hiller	
F. F. Hinostin	1	F.	Hinostin	F.
F. Hinostroza	1	F.	Hinostroza	
J. C. HitchcockJR	1	J.	HitchcockJR	C.
J. C. HitchcockJr	1	J.	HitchcockJr	C.
R. W. Hodges	2	R.	Hodges	W.
E. R. Hodges	1	E.	Hodges	R.
G. P. Holland	1	G.	Holland	P.
L. Hollenberg	1	L.	Hollenberg	
L. Hollenverg	1	L.	Hollenverg	
A. Hook	4	A.	Hook	
F. Hort	1	F.	Hort	
J. Hort	1	J.	Hort	
F. G.  Howarth	1	F.	Howarth	G. 
H. C. Huckett	3	H.	Huckett	C.
P. D. Hurd	2	P.	Hurd	D.
E. Inciarte	1	E.	Inciarte	
H. E. Irving	1	H.	Irving	E.
M. Irwin	2	M.	Irwin	
M. E. Irwin	12	M.	Irwin	E.
D. H. Janzen	1	D.	Janzen	H.
M. Jayaweera	1	M.	Jayaweera	
L. Jayawickrema	11	L.	Jayawickrema	
Jaynes	1		Jaynes	
Pham Jendek	1	Pham	Jendek	
E. Jendek	2	E.	Jendek	
S. L. Jensen	1	S.	Jensen	L.
Johanson	2		Johanson	
R. L. Jones	1	R.	Jones	L.
J. Jones	2	J.	Jones	
O. S. Flint Jr.	1	O.	Jr.	S. Flint
J. M. Leavengood Jr.	1	J.	Jr.	M. Leavengood
K. Kamijo	1	K.	Kamijo	
F. Kaplan	3	F.	Kaplan	
S. Karunaratne	1	S.	Karunaratne	
P. B. Karunaratne	7	P.	Karunaratne	B.
A. Kawahara	1	A.	Kawahara	
J. Kipping	2	J.	Kipping	
A. Kirk-Springs	2	A.	Kirk-Springs	
