Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name	irn
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Hoplistomerus	Hoplistomerus nobilis	1	nobilis	Hoplistomerus nobilis	10203667
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neolophonotus	Neolophonotus sp.	1	unidentified	Neolophonotus unidentified	10203672
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Euscelidia	Euscelidia procula	1	procula	Euscelidia procula	10203695
Arthropoda	Insecta	Diptera	Mydidae	Apiophorinae	Miltinus	Miltinus minutus	1	minutus	Miltinus minutus	10203709
Arthropoda	Insecta	Diptera	Asilidae	Brachyrhopalinae	Heteropogon	Heteropogon aureus	1	aureus	Heteropogon aureus	10203729
Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Phyllomydas	Phyllomydas parvulus	1	parvulus	Phyllomydas parvulus	10203743
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Nicocles	Nicocles aemulator	1	aemulator	Nicocles aemulator	10203750
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Proctacanthella	Proctacanthella cacopiloga	1	cacopiloga	Proctacanthella cacopiloga	10203787
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Scytomedes	Scytomedes haemorrhoidalis	1	haemorrhoidalis	Scytomedes haemorrhoidalis	10203797
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Namibimydas	Namibimydas psamminos	1	psamminos	Namibimydas psamminos	10203800
Arthropoda	Insecta	Diptera	Asilidae	Willistonininae	Sisyrnodytes	Sisyrnodytes curtus	1	curtus	Sisyrnodytes curtus	10203801
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Notiolaphria	Notiolaphria macra	1	macra	Notiolaphria macra	10203805
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Scleropogon	Scleropogon duncani	1	duncani	Scleropogon duncani	10203807
Arthropoda	Insecta	Diptera	Mydidae	Rhaphiomidinae	Rhaphiomidas	Rhaphiomidas hasbroucki	1	hasbroucki	Rhaphiomidas hasbroucki	10203814
Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Messiasia	Messiasia californica	1	californica	Messiasia californica	10203815
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Arenomydas	Arenomydas caerulescens	1	caerulescens	Arenomydas caerulescens	10203836
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Megaphorus	Megaphorus pulchrus	2	pulchrus	Megaphorus pulchrus	10203845
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Dysmachus	Dysmachus trigonus	1	trigonus	Dysmachus trigonus	10203847
Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Hypenetes	Hypenetes stigmatias	1	stigmatias	Hypenetes stigmatias	10203851
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Callinicus	Callinicus pictitarsis	1	pictitarsis	Callinicus pictitarsis	10203853
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Leptogaster	Leptogaster cylindrica	1	cylindrica	Leptogaster cylindrica	10203856
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Eutolmus	Eutolmus lecythus	1	lecythus	Eutolmus lecythus	10203868
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Leptogaster	Leptogaster flavipes	1	flavipes	Leptogaster flavipes	10203869
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Saropogon	Saropogon distinctus	1	distinctus	Saropogon distinctus	10203884
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Dasophrys	Dasophrys sp.	1	unidentified	Dasophrys unidentified	10203891
Arthropoda	Insecta	Diptera	Asilidae	Dasypogoninae	Nicocles	Nicocles politus	1	politus	Nicocles politus	10203894
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Scleropogon	Scleropogon neglectus	1	neglectus	Scleropogon neglectus	10203902
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Colepia	Colepia rufiventris	1	rufiventris	Colepia rufiventris	10203906
Arthropoda	Insecta	Diptera	Asilidae	Stichopogoninae	Lissoteles	Lissoteles vanduzeei	1	vanduzeei	Lissoteles vanduzeei	10680683
Arthropoda	Insecta	Diptera	Asilidae	Stichopogoninae	Clinopogon	Clinopogon nicobarensis	1	nicobarensis	Clinopogon nicobarensis	10332239
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Beameromyia	Beameromyia disfascia	1	disfascia	Beameromyia disfascia	9137748
Arthropoda	Insecta	Diptera	Calliphoridae	Bengaliinae	Auchmeromyia	Auchmeromyia bequaerti	1	bequaerti	Auchmeromyia bequaerti	10216410
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphorinae	Blepharicnema	Blepharicnema splendens	1	splendens	Blepharicnema splendens	10216414
Arthropoda	Insecta	Diptera	Therevidae	Therevinae	Lysilinga	Lysilinga aurantiaca	1	aurantiaca	Lysilinga aurantiaca	10224341
Arthropoda	Insecta	Diptera	Asilidae	Willistonininae	Willistonina	Willistonina bilineata	1	bilineata	Willistonina bilineata	10224295
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Zosteria	Zosteria rosevillensis	1	rosevillensis	Zosteria rosevillensis	10224297
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Ablautus	Ablautus rufotibialis	1	rufotibialis	Ablautus rufotibialis	10224183
Arthropoda	Insecta	Diptera	Asilidae	Brachyrhopalinae	Ceraturgus	Ceraturgus fasciatus	1	fasciatus	Ceraturgus fasciatus	10224201
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Prolatiforceps	Prolatiforceps fulviventris	1	fulviventris	Prolatiforceps fulviventris	10224269
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Psilonyx	Psilonyx annulatus	1	annulatus	Psilonyx annulatus	10224273
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Neoitamus	Neoitamus flavofemoratus	1	flavofemoratus	Neoitamus flavofemoratus	10224253
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Asilus	Asilus occidentalis	1	occidentalis	Asilus occidentalis	9133288
Arthropoda	Insecta	Diptera	Asilidae	Brachyrhopalinae	Cophura	Cophura arizonensis	1	arizonensis	Cophura arizonensis	9135764
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Andinomyia	Andinomyia cruciata	1	cruciata	Andinomyia cruciata	9133712
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Beskioleskia	Beskioleskia busckii	1	busckii	Beskioleskia busckii	9134432
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Echinopyrrhosia	Echinopyrrhosia alpina	1	alpina	Echinopyrrhosia alpina	9133985
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Ernestiopsis	Ernestiopsis erigonopsidis	1	erigonopsidis	Ernestiopsis erigonopsidis	9136475
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Eucheirophaga	Eucheirophaga lugubris	1	lugubris	Eucheirophaga lugubris	9137242
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Gaediopsis	Gaediopsis setosa	1	setosa	Gaediopsis setosa	9132148
Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Geneodes	Geneodes grisescens	1	grisescens	Geneodes grisescens	9143348
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Incamyia	Incamyia cuzcensis	1	cuzcensis	Incamyia cuzcensis	9133701
Arthropoda	Insecta	Diptera	Tachinidae	Dexiinae	Oestrophasia	Oestrophasia calva	1	calva	Oestrophasia calva	9132595
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Pseudochaeta	Pseudochaeta pyralidis	1	pyralidis	Pseudochaeta pyralidis	9132062
Arthropoda	Insecta	Diptera	Tachinidae	Dexiinae	Trichodura	Trichodura recta	1	recta	Trichodura recta	9143572
Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Neophryxe	Neophryxe psychidis	1	psychidis	Neophryxe psychidis	9133934
Arthropoda	Insecta	Diptera	Mydidae	Ectyphinae	Heteromydas	Heteromydas bicolor	1	bicolor	Heteromydas bicolor	10224316
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Hispanomydas	Hispanomydas hispanicus	1	hispanicus	Hispanomydas hispanicus	10224317
Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Leptomydas	Leptomydas lusitanicus	1	lusitanicus	Leptomydas lusitanicus	10224319
Arthropoda	Insecta	Diptera	Mydidae	Leptomydinae	Nemomydas	Nemomydas melanopogon	1	melanopogon	Nemomydas melanopogon	10224328
Arthropoda	Insecta	Diptera	Asilidae	Stenopogoninae	Cylicomera	Cylicomera rubrofasciata	1	rubrofasciata	Cylicomera rubrofasciata	10239792
Arthropoda	Insecta	Diptera	Asilidae	Tillobromatinae	Alyssomyia	Alyssomyia brevicornis	1	brevicornis	Alyssomyia brevicornis	10616590
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Cerotainia	Cerotainia macrocera	1	macrocera	Cerotainia macrocera	10214947
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Lasiocnemus	Lasiocnemus londti	1	londti	Lasiocnemus londti	10276580
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Eumecosoma	Eumecosoma ayala	1	ayala	Eumecosoma ayala	10322719
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Lamyra	Lamyra greatheadi	1	greatheadi	Lamyra greatheadi	10332183
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Lamyra	Lamyra greatheadi	1	greatheadi	Lamyra greatheadi	10332244
Arthropoda	Insecta	Diptera	Tachinidae	Dexiinae	Prosenoides	Prosenoides flavipes	1	flavipes	Prosenoides flavipes	10223297
Arthropoda	Insecta	Diptera	Sciomyzidae	Salticellinae	Salticella	Salticella fasciata	1	fasciata	Salticella fasciata	10267236
