NamBriefName,NamFirst,NamLast,NamMiddle,NamRoles_tab(1)
S. W. Gross,S.,Gross,W.,Collector
Grunin,,Grunin,,Author
Guerin-Meneville,,Guerin-Meneville,,Author
C. J. Guillarmod,C.,Guillarmod,J.,Collector
J. H. Guimaraes,J.,Guimaraes,H.,Identifier
T. Gunawardane,T.,Gunawardane,,Collector
V. Gunawardane,V.,Gunawardane,,Collector
T. Guniwariane,T.,Guniwariane,,Collector
R. Guppy,R.,Guppy,,Collector
T. Guy,T.,Guy,,Collector
Guyon,,Guyon,,Author
Hadjinicalaou,,Hadjinicalaou,,Collector
C. Haematopota,C.,Haematopota,,Collector
D. G. Hall,D.,Hall,G.,Identifier
W. Hallwachs,W.,Hallwachs,,Collector
James E. O Hara,James,Hara,E. O,Identifier
Hardy,,Hardy,,Collector
R. A. Harrison,R.,Harrison,A.,Identifier
W. G. Harvey,W.,Harvey,G.,Collector
M. Hauser,M.,Hauser,,Collector
M. Hauser,M.,Hauser,,Identifier
Hauser,,Hauser,,Author
I. R. Hendrickson,I.,Hendrickson,R.,Collector
Herard,,Herard,,Collector
Herbert,,Herbert,,Collector
Herrera,,Herrera,,Collector
H. A. Hespenheide,H.,Hespenheide,A.,Identifier
H. E. Hespenheide,H.,Hespenheide,E.,Collector
H. A. Hespenheide,H.,Hespenheide,A.,Collector
W. Heutemann,W.,Heutemann,,Collector
P. Hibbs,P.,Hibbs,,Collector
P. Hibbs,P.,Hibbs,,Identifier
N. Hichins,N.,Hichins,,Collector
N. Hichius,N.,Hichius,,Collector
B. Hierro,B.,Hierro,,Collector
D. J. Hilburn,D.,Hilburn,J.,Collector
A. Hiller,A.,Hiller,,Collector
F. F. Hinostin,F.,Hinostin,F.,Collector
F. Hinostroza,F.,Hinostroza,,Collector
J. C. HitchcockJR,J.,HitchcockJR,C.,Collector
J. C. HitchcockJr,J.,HitchcockJr,C.,Collector
L. Hollenverg,L.,Hollenverg,,Collector
K. C. Holston,K.,Holston,C.,Identifier
A. Hook,A.,Hook,,Collector
J. Hort,J.,Hort,,Collector
F. Hort,F.,Hort,,Collector
F. G.  Howarth,F.,Howarth,G. ,Collector
H. C. Huckett,H.,Huckett,C.,Collector
Iide,,Iide,,Author
E. Inciarte,E.,Inciarte,,Collector
H. E. Irving,H.,Irving,E.,Collector
M. E. Irwin,M.,Irwin,E.,Collector
M. E. Irwin,M.,Irwin,E.,Identifier
